Ebi/N0(db)	taxa_de_erro_de_bit_de_informacao
0	0.207128
1	0.179821
2	0.152038
3	0.124507
4	0.0933215
5	0.0488808
6	0.0117269
7	0.00228979
8	0.000306806
9	4.61458e-05
10	6.90972e-06
