Ebi/N0(db)	taxa_de_erro_de_bit_de_informacao
0	0.3460723142148628
1	0.30847632189424845
2	0.25498860091192704
3	0.1900297976161907
4	0.12171426285897129
5	0.061498080153587716
6	0.023271138308935284
7	0.005985521158307336
8	0.0011689064874810015
9	0.00010199184065274778
10	7.999360051195904e-6
